question,answer
How can I safely run my equestrian facility?,"You should follow your state and/or local jurisdictional guidance regarding continuing operations at your facility. There have not been any reports of horses testing positive for the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading the virus that causes COVID-19 to people is considered to be low. COVID19 is primarily spread from person to person, so steps should be taken to reduce the risks for people visiting your facility. Encourage employees and other visitors, including boarders, owners, farriers, veterinarians, and those taking lessons, not to enter the facility if they are sick. Employees should not return to work until the criteria to discontinue home isolation are met, after talking with their doctor. Implement sick leave policies that are exible, nonpunitive, and consistent with public health guidance, allowing employees to stay home if they have symptoms of respiratory infection. Consider conducting daily health checks (e.g., symptom and/or temperature screening) of employees and others visiting the facility before they enter the premises. People with a fever of 100.4 (38.0 C) or above or other signs of illness should not be admitted to the premises. If implementing health checks, conduct them safely and respectfully. See General Business FAQs for more information. Employees or visitors who appear to have symptoms upon arrival or who become sick during their visit should immediately be separated from other employees and visitors and sent home. Limit the number of people entering the facility. Consider staggering lesson and visiting times to limit the number of people in the facility and potential for person-to-person contact. If possible, you can also take steps to decrease hightrac areas by limiting areas open to visitors/owners or staggering use of common areas like grooming or wash stalls and tack rooms. Increase distance and limit duration of contact between employees and visitors in the facility. Whenever possible, people should maintain at least 6 feet of distance between each other at the facility, including instructors teaching lessons. Allow for social distancing and avoid large numbers of people within the facility, including in employee-only areas. Visitors and employees should wear masks to protect others especially where social distancing measures are dicult to maintain. Wearing a mask does NOT replace the need to practice social distancing. Set up hand hygiene stations at the entrance and within the facility, so that employees and people entering can clean their hands before they enter. Employees should wash hands regularly with soap and water for at least 20 seconds. An alcohol-based hand sanitizer containing at least 60% alcohol can be used, but if hands are visibly dirty, they should be washed with soap and water before using an alcohol-based hand sanitizer. Examples of hand hygiene stations may be a hose and soap located at entrances to allow for handwashing before entry. Clean and disinfect frequently touched surfaces such as grooming tools, halters, lead ropes, shared tack and equipment, and door handles/gates (including those to stall doors and pasture/turn out areas) on a routine basis. To disinfect, use products that meet EPA’s criteria for use against the virus that causes COVID-19 and are appropriate for the surface, diluted household bleach solutions prepared according to the manufacturer’s label for disinfection, or alcohol solutions with at least 70% alcohol. Follow manufacturer’s directions for use, especially regarding product contact time and protections from chemical hazards posed by cleaners and disinfectants. Follow local guidance on shelter in place and travel recommendations when traveling for showing, training, or trail riding. If traveling to a new facility, limit contact between people, horses, tack, equipment, and other supplies from dierent facilities, and maintain a distance of at least 6 feet between horses and riders. Follow state and local guidance on travel. People who are sick should not travel to other facilities. People visiting other facilities should follow the same precautions as they would normally, including maintaining at least 6 feet of distance between each other, wearing a mask to protect others, and washing hands frequently with soap and water.
If other animals, such as barn cats, are present at the facility, be aware that a small number of pets have been
reported to be infected with the virus that causes COVID-19, mostly after contact with people with COVID-19 .
"
What is community mitigation?,"Community mitigation activities are actions that people and communities can take to slow the spread of infectious diseases, and prepare for it if it occurs, including COVID-19. Community mitigation is especially important before a vaccine or drug becomes widely available."
What are community mitigation actions for COVID-19?,"For individuals Washing hands often Avoiding close contact with people who are sick, and practicing social distancing Covering mouth and nose with a mask when around others Covering coughs and sneezes Cleaning and disinfecting frequently touched surfaces daily For communities Promoting behaviors that prevent spread Maintaining healthy environments Maintaining healthy operations Preparing for when someone gets sick Closing businesses and schools and limiting other service"
Who is involved in community mitigation actions?,"Individual people, communities, schools, businesses, and healthcare organizations have a role to play in community mitigation. Policies*, which include limits on large gatherings, restrictions on businesses, and school closures are often needed to fully put in place community mitigation strategies. Each community is unique. Because some actions can be very disruptive to daily life, mitigation activities will be dierent depending on how much disease has spread within the community, what the community population is like, and the ability to take these actions at the local level. To identify appropriate activities, all parts of a community that might be aected need to be considered, including populations most vulnerable to severe illness, and those who might be more aected socially or economically. When selecting mitigation activities, states and communities need to consider the spread of disease locally, characteristics of the people who live in the community (for example, age groups, languagesspoken, overall health status), and the kind of public health resources and healthcare systems (like hospitals) that are
available in the community. State and local ocials may need to adjust community mitigation activities and immediately
take steps to scale them up or down depending on the changing local situation.
Putting mitigation into practice is based on
Emphasizing individual responsibility for taking recommended personal-level actions
Empowering businesses, schools, and community organizations to take recommended actions, particularly in ways
that protect persons at increased risk of severe illness
Focusing on settings that provide critical infrastructure or services to individuals at increased risk of severe illness
Minimizing disruptions to daily life to the extent possible
*CDC cannot address the policies of any business or organization. CDC shares recommendations based on the best
available science to help people make decisions that improve their health and safety. In all cases, follow the guidance of
your healthcare provider and local health department. Local decisions depend on local circumstances.
"
Can the virus that causes COVID-19 spread through treated drinking water?,"The virus that causes COVID-19 has not been detected in treated drinking water. Water treatment plants use lters and disinfectants to remove or kill germs, like the virus that causes COVID-19. The Environmental Protection Agency regulates water treatment plants to ensure that treated water is safe to drink. Currently, there is no evidence that the virus that causes COVID-19 can be spread to people by drinking treated water. COVID-19 is spread mainly through close contact from person-to-person. You can continue to use and drink water from your tap as usual."
Is the virus that causes COVID-19 found in feces (stool)?,"The virus that causes COVID-19 has been found in the feces of some patients diagnosed with COVID-19. However, it is unclear whether the virus found in feces may be capable of causing COVID-19. There has not been any conrmed report of the virus spreading from feces to a person. Scientists also do not know how much risk there is that the virus could be spread from the feces of an infected person to another person. However, they think this risk is low based on data from previous outbreaks of diseases caused by related coronaviruses, such as severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS)."
Can the COVID-19 virus spread through sewerage systems?,"Recently, ribonucleic acid (RNA) from the virus that causes COVID-19 has been found in untreated wastewater. While data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater. At this time, the risk of transmission of the virus that causes COVID-19 through properly designed and maintained sewerage systems is thought to be low."
Should wastewater workers take extra precautions to protect themselves from the virus that causes COVID-19?,"Recently, ribonucleic acid (RNA) from the virus that causes COVID-19 has been found in untreated wastewater. While data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater.Standard practices associated with wastewater treatment plant operations should be sucient to protect wastewater
workers from the virus that causes COVID-19. These standard practices can include engineering and administrative
controls, hygiene precautions, specic safe work practices, and personal protective equipment (PPE) normally required
when handling untreated wastewater. No additional COVID-19–specic protections are recommended for workers
involved in wastewater management, including those at wastewater treatment facilities.
"
"If my utility has issued a Boil Water Advisory, can I still use tap water to wash my hands?","In most cases, it is safe to wash your hands with soap and tap water during a Boil Water Advisory. Follow the guidance from your local public health ocials. If soap and water are not available, use an alcohol-based hand sanitizer containing at least 60% alcohol."
"Can the virus that causes COVID-19 spread to people through the water in pools, hot tubs, or water playgrounds?","CDC is not aware of any scientic reports of the virus that causes COVID-19 spreading to people through the water in pools, hot tubs, or water playgrounds. Plus, proper operation of public pools, hot tubs, and water playgrounds (such as at an apartment complex or owned by a community) and disinfection of the water (with chlorine or bromine) should inactivate the virus. The virus mainly spreads when respiratory droplets from infected people land in the mouths or noses of others or possibly when inhaled into the lungs by others. If a public pool, hot tub, or water playground is open, it is important for all visitors and sta to take steps to slow the spread of the virus: Stay home if you are infected or might be infected with the virus that causes COVID-19. Stay at least 6 feet apart (in and out of the water) from people you don’t live with. Wear cloth masks when not in water. Cover coughs and sneezes with a tissue (or use the inside of your elbow), throw used tissues in the trash, and wash hands. Wash your hands often with soap and water for at least 20 seconds. Use hand sanitizer with at least 60% alcohol if soap and water are not readily available."
Can the virus that causes COVID-19 spread to people through the water in saltwater pools?,"CDC is not aware of any scientic reports of the virus that causes COVID-19 spreading to people through the water in pools, including saltwater pools. Plus, proper operation of public pools (such as at an apartment complex or owned by a community) and disinfection of the water (with chlorine or bromine) should inactivate the virus. Saltwater pools are chlorinated pools. In traditional pools, chlorine products (such as granules or liquid bleach) are added to the water to disinfect it. In saltwater pools, table salt (made up of sodium and chloride) is added to the water, and an electrical current is then run through the water with dissolved salt. This creates the same disinfecting form of chlorine that is created when chlorine products are added to the water in traditional pools."
"Can the virus that causes COVID-19 spread to people through the water in lakes, oceans, or rivers?","CDC is not aware of any scientic reports of the virus that causes COVID-19 spreading to people through the water in lakes, oceans, rivers, or other natural bodies of water. The virus mainly spreads when respiratory droplets from infected people land in the mouths or noses of others or possibly when inhaled into the lungs by others. If a public beach or other swim area in a natural body of water is open, it is important for all visitors and sta to take steps to slow the spread of the virus:Stay home if you are infected or might be infected with the virus that causes COVID-19.
Stay at least 6 feet apart (in and out of the water) from people you don’t live with.
Wear cloth masks when not in water.
Cover coughs and sneezes with a tissue (or use the inside of your elbow), throw used tissues in the trash, and wash
hands.
Wash your hands often with soap and water for at least 20 seconds. Use hand sanitizer with at least 60% alcohol if
soap and water are not readily available.RNA of the virus that causes COVID-19 has been found in untreated wastewater, which can come from combined
sewer overows (rainwater runo, domestic sewage, and industrial wastewater) and other sources  (such as,
leaking septic tanks or animal waste from farms nearby) and enter swim areas. While data are limited, there is little
evidence of infectious virus in wastewater. Plus, CDC is not aware of any scientic reports of the virus being spread by
swallowing or coming in contact with water contaminated by feces (poop) from an infected person.
At lakes, oceans, and rivers with routine water quality monitoring programs, sta look for changes in fecal (poop)
contamination of the water. Water quality advisories and beach closures alert the public to avoid getting in or on the
water because of increased fecal contamination. Learn more about healthy swimming in natural bodies of water and
access water quality information by state.
"
Can cloth masks be worn in the water?,"No, do NOT wear a cloth mask in the water. It can be dicult to breathe through a cloth mask when it is wet. Plus, wet cloth masks don’t slow the spread of the virus that causes COVID-19 as well as dry cloth masks. All of this means it is particularly important to stay at least 6 feet apart in the water from people you don’t live with. In case cloth masks do get wet by mistake, bring a second (or extra) cloth mask for everyone heading out to the public pool or beach."
"Can Lycra (Spandex or elastane), the cloth used to make swimsuits, be used to make cloth masks?","CDC does not yet have evidence on the eectiveness of dierent types of cloth materials. Wearing cloth masks can help prevent people infected with the virus that causes COVID-19 from spreading the virus. Make sure your cloth mask: ts snugly but comfortably against the side of the face, completely covers the nose and mouth, is secured with ties or ear loops, includes multiple layers of fabric, allows for breathing without restriction, and can be laundered and machine dried without damage or change to shape. Cloth masks should NOT be worn by children less than 2 years old or anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the mask without assistance. Learn more about how to wear, take o, and wash your cloth masks."
"How many people, visitors and sta, can be in and around a public pool, hot tub, or water playground (such as at an apartment complex or owned by a community) at the same time?","The design of the public pool, hot tub, or water playground and surrounding deck and if visitors live together or not will aect how many people can stay at least 6 feet apart from those they don’t live with. CDC recommends operators of public pools, hot tubs, and water playgrounds:comply with local, state, territorial, federal, and tribal regulatory agency policies and requirements on gathering (so
the number of swimmers in the water isn’t more than the maximum allowed) and
teach and reinforce social (physical) distancing among visitors and sta.
Operators might want to limit the number of people in and around the water so if the water needs to be evacuated
(because of lightning or other health or safety threat) social distancing can be maintained on the deck. Otherwise, if the
water is evacuated and social distancing cannot be maintained on the deck, close the deck to visitors. There is no
standard formula to determine how many people can maintain social distancing in the water and on the surrounding
deck.
"
"Can I use pool, hot tub, or water playground water to disinfect surfaces or shared objects?","No. Only List N disinfectants approved by the U.S. Environmental Protection Agency should be used to disinfect surfaces (such as handrails and in bathrooms) and shared objects (such as kickboards and pool noodles). The list includes hundreds of disinfectants. Operators of public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) should consult with the design company or engineer to determine which disinfectants are best suited for surfaces and with manufacturers to determine which disinfectants are best suited for shared objects. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants."
Can the sun’s ultraviolet (UV) light disinfect surfaces and shared objects?,"We don’t know yet. Early scientic data suggest that SARS-CoV-2, the virus that causes COVID-19, can be inactivated by the sun’s UV light. However, the ability of the sun’s UV light to inactivate the virus on surfaces (such as handrails and in bathrooms) and shared objects (such as kickboards and pool noodles) needs more research. Factors — such as cloudiness, latitude (distance from equator), time of day, and amount of time exposed to the sun’s UV light — will determine how eectively the virus is inactivated. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants ."
"How often do surfaces (such as handrails and in bathrooms) at public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) need to be cleaned and disinfected?","The more frequently a surface is touched by multiple people, the more frequently it should be cleaned and then disinfected with a List N disinfectant approved by the U.S. Environmental Protection Agency . Frequently touched surfaces should be cleaned and disinfected at least daily. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants."
"Do procedures for responding to formed fecal (poop) or diarrheal incidents in public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) need to change during the COVID-19 pandemic?","No. RNA of the virus that causes COVID-19 has been found in feces (poop). While data are limited, there is little evidence of infectious virus in feces. Plus, CDC is not aware of any scientic reports of the virus being spread by swallowing or coming in contact with water contaminated by feces from an infected person. As a result, CDC has not changed its fecal incident response recommendations. Remember, do NOT vacuum feces out of the water."
"Can lifeguards monitor how visitors socially distance (stay at least 6 feet apart from people you don’t live with), wear cloth masks, or wash hands?","Not when lifeguards are actively lifeguarding. Lifeguards actively lifeguarding should not be doing other tasks that could distract them. Drowning deaths have resulted, at least in part, from lifeguards being distracted."
How can the spread of the virus that causes COVID-19 be slowed during lifeguard training?,"Lifeguard trainers can consider the following steps to slow the spread of the virus that causes COVID-19: Have the virus? Stay home to save lives. Educate instructors, lifeguard students, and others about when they should stay home to isolate (if they have symptoms of COVID-19 or tested positive for COVID-19) or quarantine (if they have been in close contact with someone who has COVID-19) and when they can return or reschedule training. Conduct daily health checks (see frequently asked question on screening) or ask instructors, students, and others to conduct self-checks (such as temperature screening or symptom checking), if possible. Conduct health checks safely and respectfully and in accordance with any applicable local, state, territorial, federal, and tribal privacy and condentiality laws, rules, and regulations. Be smart, stay at least 6 feet apart Conduct knowledge training virtually or online, when possible, to limit contact among instructors, students, and others. Teach and reinforce social (physical) distancing during in-person skills training in and out of the water — maintaining at least 6 feet between people who don’t live together. Provide physical cues or guides (such as lane lines in the water or chairs and tables on the deck) and visual cues (such as posted signs or tape on the deck). Limit close contact, particularly face-to-face interactions, between people who don’t live together, as recommended by the lifeguarding-certifying organization. Such as Aquatic rescue For practice rescues Have each student practice rescues on his or her household member instead of another student. For actual rescues Stress the need to keep the number of people involved in rescue and resuscitation to the minimum number needed to provide proper care. Stress the need to 1) perform rescues from the deck (using an extending or throwing device) if conditions allow and 2) if possible, have people on the deck wear cloth masks, when removing victim from the water because social distancing cannot be maintained. If an in-water rescue is needed, minimize exposure to the distressed swimmer’s face without protection, if possible approaching him or her from behind. Cardiopulmonary Resuscitation (CPR) For practice resuscitation Limit student-to-manikin ratio and student-to-automated external debrillator (AED) training device ratio to 1:1. Have each student use his or her own breathing barrier when doing rescue breathing on a manikin. For actual resuscitation Stress the need for and train with personal protective equipment (PPE) during resuscitation, as recommended by the CPR-certifying organization (such as the American Red Cross ), and use a bag-valve mask (BVM) with a high-eciency particulate air (HEPA) lter. BVM ventilation is best delivered with two rescuers. Wear a mask. Save lives. Teach and reinforce use of cloth masks in public settings when around people you don’t live with, particularly when it is dicult to maintain social distancing. Advise people wearing masks to not wear them in the water. Cloth masks can be dicult to breathe through when they’re wet. This means it is particularly important to maintain social distancing in the water. Plus, wet cloth masks don’t slow the spread of the virus that causes COVID-19 as well as dry cloth masks. Cover coughs and sneezes Teach and reinforce covering coughs and sneezes with a tissue (or use the inside of elbow), throw used tissues in the trash, and wash hands. Wash hands often
Teach and reinforce handwashing with soap and water for at least 20 seconds, particularly after being in a public
place or after blowing your nose, coughing, or sneezing.
Use hand sanitizer with at least 60% alcohol, if soap and water are not readily available.
Clean and then disinfect
Clean and then disinfect surfaces frequently touched by multiple people (such as door handles, light switches,
and tables). Use cleaning product and a List N disinfectant approved by the U.S. Environmental Protection Agency
 as per label instructions.
Clean and then disinfect all shared equipment that is not disposable (such as manikins and rescue tubes)
between users. Use cleaning product and a List N disinfectant approved by the U.S. Environmental Protection
Agency  as per label instructions. Consult with manufacturers to decide which List N disinfectants are best for
equipment.
"
Website 2,
What is coronavirus disease 2019 (COVID-19)?,"Coronavirus disease 2019 (COVID-19) is a respiratory illness that can spread from person to person. CDC has information on COVID-19 symptoms (https://www.cdc.gov/coronavirus/2019-ncov/symptoms-testing/symptoms.html) and caring for yourself and others. COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans."
What is the FDA doing to respond to the COVID-19 pandemic?,"The FDA, along with other federal, state, and local agencies and public health officials across the country and internationally, plays a critical role in protecting public health during the COVID-19 pandemic. FDA staff are working around the clock to support development of medical countermeasures and are providing regulatory advice, guidance, and technical assistance to advance the development and availability of vaccines, therapies, diagnostic tests and other medical devices for use diagnosing, treating, and preventing this novel virus. The FDA continues to monitor the human and animal food supply and take swift action on fraudulent COVID-19 products."
What is an emergency use authorization and how is it being used to respond to COVID19?,"In certain types of emergencies, the FDA can issue an emergency use authorization, or EUA, to provide more timely access to critical medical products that may help during the emergency when there are no adequate, approved, and available alternative options. The EUA process is different than full FDA approval, clearance, or licensing because the EUA standard requires significantly less data than otherwise would be required for approval, clearance, or licensing by the FDA. This enables the FDA to authorize the emergency use of medical products that meet the criteria for issuance within weeks rather than months to years. Under the EUA authority, the FDA evaluates requests for authorization very quickly using the evidence that is available, carefully balancing the risks and benefits of the product as we know them, in addition to evaluating other criteria. EUAs are in effect until the emergency declaration ends but can be revised or revoked as we evaluate the needs during the emergency, or as products meet the criteria to become approved, cleared, or licensed by the FDA. The What is an EUA? video (https://youtu.be/iGkwaESsGBQ)  (http://www.fda.gov/about-fda/websitepolicies/website-disclaimer) provides a short summary of this information. On February 4, 2020, the HHS Secretary determined that there is a public health emergency involving COVID-19, and subsequently issued declarations justifying the use of EUAs for medical products to prevent, treat and diagnose COVID-19. To date, over 100 EUAs have been issued to allow emergency access to tests, medical devices, personal protective equipment and therapeutics. See the EUAs that have been issued for COVID19 (/emergency-preparedness-and-response/mcm-legal-regulatory-and-policyframework/emergency-use-authorization#covid19euas)."
How does COVID-19 spread? ,COVID-19 is thought to spread mainly through close contact from person-to-person. Some people without symptoms may be able to spread the virus. We are still learning about how the virus spreads and the severity of illness it causes.
How can I prevent COVID-19? ,"The best way to prevent illness is to avoid being exposed to the virus. CDC recommends everyday preventive actions (https://www.cdc.gov/coronavirus/2019- ncov/prevent-getting-sick/prevention.html) to help prevent the spread of respiratory diseases. CDC recommends washing your hands often with soap and water for at least 20 seconds especially after you have been in a public place, or after blowing your nose, coughing, or sneezing. If soap and water are not available, CDC recommends using an alcohol-based hand sanitizer that contains at least 60 percent alcohol."
Should I wear a face covering or mask when I go out in public?,"CDC recommends wearing masks in public when other social distancing
measures are difficult to maintain (e.g., grocery stores and pharmacies) especially in
areas of significant community-based transmission of the coronavirus. The purpose of
wearing a mask in public is to slow the spread of the virus and help people who may
have the virus and do not know it from transmitting it to others.
The FDA does not regulate masks or cloth face coverings worn by the general public. The FDA does regulate medical devices, including personal protective equipment (PPE) such as surgical masks and N95 respirators. PPE should be reserved for use by health care workers, first responders, and other frontline workers whose jobs put them at much greater risk of acquiring COVID-19."
What treatments are available for COVID-19?,"Currently there are no FDA-approved medicines specifically for COVID-19. However, the FDA has granted emergency use authorizations for some medicines to be used for certain patients hospitalized with COVID-19. The National Institutes of Health provides more information about treatment options.People with COVID-19 should receive supportive care to help relieve symptoms. People
with mild symptoms are able to recover at home. If you experience a medical emergency
such as trouble breathing, call 911 and let the operator know you may have COVID-19.
Never take a prescription medicine or drug if it is not prescribed for you by your doctor
for your health condition."
"Can I prevent or treat COVID-19 by using disinfectant sprays, wipes, or liquids on my skin? Can I inject, inhale, or ingest (swallow) disinfectants to prevent or treat COVID-19? ","No. Disinfectant products such as sprays, mists, wipes, or liquids are only to be used on hard, non-porous surfaces (materials that do not absorb liquids easily) such as floors and countertops, or on soft surfaces such as mattresses, sofas, and beds.Disinfectants should not be used on human or animal skin. Disinfectants may
cause serious skin and eye irritation.
Disinfectants are dangerous for people to inject, inhale, or ingest. If you breathe, inject,
or swallow disinfectants you may be seriously hurt or die. If someone near you swallows,
injects, or breathes a disinfectant, call poison control or a medical professional
immediately.
"
Does spraying people with disinfectant lower the spread of COVID-19? ,"Currently there are no data showing that spraying people with aerosolized disinfectants, or having people walk through tunnels or rooms where disinfectant is in the air, can treat, prevent, or lower the spread of COVID-19. Surface disinfectants should not be used on people or animals. Disinfectant products, such as sprays, mists, wipes, or liquids are only to be used on hard, non-porous surfaces (materials that do not absorb liquids easily) such as floors and countertops, or on soft surfaces such as mattresses, sofas, and beds. CDC provides information regarding disinfectant practices for surfaces in the Reopening Guidance for Cleaning and Disinfecting Public Spaces, Workplaces, Businesses, Schools, and Homes . Human antiseptic drugs, such as hand sanitizers, are intended for use on human skin, but are not intended for aerosolization (to be sprayed in the air in very small droplets). Due to serious safety concerns, including the risk of inhalational toxicity and flammability, the FDA’s temporary policies for alcohol-based hand sanitizers during the COVID-19 public
health emergency specifically do not apply to aerosol sprays. In addition, hand
sanitizers are intended for use on the hands, and should never be used over larger body
surfaces, swallowed, or inhaled.
"
Will Miracle Mineral Solution (MMS) cure COVID-19? ,"No. Miracle Mineral Solution does not cure COVID-19 and has not been approved by the FDA for any use. The solution, when mixed as directed, forms industrial bleach that may cause serious and potentially life-threatening side effects. FDA took action  against Genesis II Church of Health and Healing for unlawfully distributing Miracle Mineral Solution for the treatment of COVID-19 and other diseases."
Is hand sanitizer effective against COVID-19? ,"The best way to prevent the spread of infections and decrease the risk of getting sick is by washing your hands with plain soap and water, advises the CDC . Washing hands often with soap and water for at least 20 seconds is essential, especially after going to the bathroom; before eating; and after coughing, sneezing, or blowing one’s nose. If soap and water are not available, CDC recommends consumers use an alcohol-based hand sanitizer that contains at least 60% alcohol."
"Where can I buy hand sanitizer? If I can’t find it in the store, can I make my own? ","Many retail stores and pharmacies sell hand sanitizers. However, we understand that many stores have run out of hand sanitizers and they may be difficult to find. To help increase the availability of hand sanitizers, the FDA has issued guidance (/regulatoryinformation/search-fda-guidance-documents/guidance-industry-temporary-policypreparation-certain-alcohol-based-hand-sanitizer-products-during) for the temporary preparation of alcohol-based hand sanitizers by some companies and pharmacies during the COVID-19 public health emergency. The FDA does not recommend that consumers make their own hand sanitizer. If made incorrectly, hand sanitizer can be ineffective, and there have been reports of skin burns from homemade hand sanitizer. The agency lacks verifiable information on the methods being used to prepare hand sanitizer at home and whether they are safe for use on
human skin.
"
3rd Website,
How does COVID-19 spread?,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick."
What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention."
How do I know if it is COVID-19 or just the common flu?,"A COVID-19 infection has the same signs and symptoms as the common cold and you can only differentiate them through laboratory testing to determine the virus type. If you have fever, cough and difficulty breathing, you should seek medical attention and immediately isolate yourself from others. Call your local UN clinic/medical facility to inform them of your condition and relevant travel/exposure history. If you had been identified as a close contact of a case by the local Ministry of Health or WHO, please also indicate this. From here you will be advised if a medical assessment is necessary and how to get tested."
Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.
What can I do to protect myself and prevent the spread of disease?,"Protection measures for everyone Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news.You can reduce your chances of being infected or spreading COVID-19 by taking some simple
precautions:
• Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them
with soap and water. Why? Washing your hands with soap and water or using alcohol-based
hand rub kills viruses that may be on your hands.
• Maintain at least 1 meter (3 feet) distance between yourself and anyone who is coughing or
sneezing. Why? When someone coughs or sneezes, they spray small liquid droplets from
their nose or mouth which may contain virus. If you are too close, you can breathe in the
droplets, including the COVID-19 virus if the person coughing has the disease.
• Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up
viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From
there, the virus can enter your body and can make you sick.
• Make sure you, and the people around you, follow good respiratory hygiene. This means
covering your mouth and nose with your bent elbow or tissue when you cough or sneeze.
Then dispose of the used tissue immediately. Why? Droplets spread virus. By following
good respiratory hygiene, you protect the people around you from viruses such as cold, flu
and COVID-19.
• Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek
medical attention and call in advance. Follow the directions of your local health authority.
Why? National and local authorities will have the most up to date information on the
situation in your area. Calling in advance will allow your health care provider to quickly
direct you to the right health facility. This will also protect you and help prevent spread of
viruses and other infections.
• Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is
spreading widely). If possible, avoid traveling to places – especially if you are an older
person or have diabetes, heart or lung disease. Why? You have a higher chance of catching
COVID-19 in one of these areas.
"
I am well and asymptomatic. Should I use a mask?,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons. However, masks might be worn in some countries according to local cultural habits. If masks are used, best practices should be followed on how to wear, remove, and dispose of them and on hand hygiene action after removal. For more information, visit the WHO guidance on use of masks in the community."
How likely am I to catch COVID-19?,"The risk depends on where you are - and more specifically, whether there is a COVID-19 outbreak unfolding there. For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19. COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go. WHO publishes daily updates on the COVID-19 situation worldwide."
Are pregnant women more susceptible to the COVID-19 virus and will it harm the fetus?,"We do not have information from published scientific reports about the susceptibility of pregnant women to COVID-19. Pregnant women experience immunologic and physiologic changes, which might make them more susceptible to viral respiratory infections, including COVID-19. The virus that causes COVID-19 is thought to spread mainly by close contact with an infected person through respiratory droplets. Whether a pregnant woman with COVID-19 can transmit the virus that causes COVID-19 to her fetus or neonate by other routes of vertical transmission (before, during, or after delivery) is still unknown."
What is the risk of my child becoming sick with COVID-19?,What is the risk of my child becoming sick with COVID-19?
Are the symptoms of COVID-19 different in children than in adults?,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. It’s not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children."
Should I worry about COVID-19?,"Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones. We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost, among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings."
