,Question,Answers
197,when did the world health organization (who) officially declare the covid epidemic as a public health emergency of international concern,30 Jan 20
198,how does the transmissibility of covid compare with other viruses,covid has potentially higher transmissibility (r0 1.4 5.5) than both sars cov (r0 [2] [3] [4] [5] and mers cov (r0 1)
199,what is the rna of the covid,"29891 nucleotides in size, encoding 9860 amino acids"
200,why is it statistically impossible to determine which individual intervention had the greatest effect on reducing the covid reproduction number,close spacing of interventions in time
201,when did the who declare covid to be a public health emergency of international concern,30 Jan 20
202,why is it highly unlikely that ratg13 cov is the immediate source of covid,are distributed throughout the genome in a naturally occurring pattern following the evolutionary characteristics typical of covs
203,what genes have been targeted for the diagnostic rt pcr tests in covid,e and rdrp genes
204,whats the recommended procedure to disinfect at ct scanner after a covid exposure,the equipment in the contaminated area are wiped with 2000mg/l chlorine containing disinfectant. the dr and ct gantry in the contaminated area are wiped with 75% ethanol. the equipment in the buffer area is wiped with 500 1000mg/l chlorine containing disinfectant or alcohol containing disposable disinfectant wipes twice a day.
205,what factor positively correlates with imported and reported cases counts of covid infection,daily air travel volume
206,what are main steps for mitigating covid transmission during transport of suspected and confirmed patients,"firstly, early recognition of the deteriorating patient; secondly, hcw safety; thirdly, bystander safety; fourthly, contingency plans for medical emergencies during transport; fifthly, post transport decontamination"
207,with the intervention of movement restrictions starting on 5th february 2020 what were the confirmed cases for covid were limited to,"102 and 47 cases, respectively."
208,what thickness of layers is recommended for ct image reconstruction in covid assessment,1 mm thick layers
209,what animals do gamma and delta covid mainly infect,birds
210,what is the role of computed tomography (ct) in covid,diagnosing and categorizing
211,what is the estimated infection to death distributions mean for covid,23.9 days
212,what type of virus is covid,betacovid
213,is the sars covid enveloped,enveloped
214,when was world health organization (who) first notified about the covid epidemic in wuhan city china,31 Dec
215,what is the doubling time of the covid pandemic,6 days
216,when was covid surveillance implemented in european region,27 Jan 20
217,what similarity human sars cov and palm civet sarslike cov share," 99.8% homology, with a total of 202 single nucleotide (nt) variations (snvs) identified across the genome "
218,where was the second reported case of covid in the united states,chicago
219,is oral swab for detecting covid infection sufficient," patients infected with covid may harbour the virus in the intestine at the early or late stage of disease. it is also worth to note none of the patients with viremia blood had positive swabs. these patients would likely be considered as covid negative through routine surveillance, and thus pose a threat to other people."
220,why is important to determine the spectrum of clinical manifestations of covid infections,because it determines the strength of public health response required.
221,how do the s1 subunits compare with that of sars likecov and human sars cov,"though the s1 subunit of covid shares around 70% identity to that of the two bat sars like covs and human sars cov (figure 3(a) ), the core domain of rbd (excluding the external subdomain) are highly conserved ("
222,what was done to test if an intermediate host may not be necessary and that some bat sl covs may be able to directly infect human hosts,the exact s gene from bat covid sl shc014 was synthesized and used to generate a chimeric virus in the mouse adapted ma15 sars cov backbone.
223,what is an example of a case based measure against covid,strong recommendations or laws to the general
224,how does the pathogenicity of covid compare with other viruses,"based on current evidence, pathogenicity for covid is about 3%, which is significantly lower than sars cov (10%) and mers cov (40%)"
225,why were civets proposed to be an intermediate host of the bat covs capable of spreading sars cov to humans,"t was proposed that the s gene from bat derived cov, unlike that from human patients or civetsderived viruses, was unable to use human ace2 as a receptor for entry into human cells "
226,why is there high uncertainty in estimating the impact of interventions against the covid,too early to detect substantial
227,what is the size of the orf1ab gene in bovine covid,20kb
228,what are the most revealing signs that covid evolved by natural evolution,the absence of a logical targeted pattern in the new viral sequences and a close relative in a wildlife species (bat
229,what can be the main challenges in managing a hospital outbreak of covid," (1) early identification of outbreak, (2) rapid expansion of patients, (3) high risk of nosocomial transmission, (4) unpredictability of size impacted, and (5) lack of backup resource."
230,how many types of covids are known to cause human disease,six
231,what is the structure of the covid,"enveloped, non segmented, positive strand rna viruses"
232,is the sars covid single stranded or double stranded,single stranded
233,what is the genome size of the covid,26 32 kb
234,use of sir,"susceptible persons is s, infected (persons who are sick and spread the infection)  i, removed (persons who do not spread the infection anymore, this number is the sum of isolated, recovered and dead people)  r; the infection and immunization rates "
235,what could account for the dissemination of the covid virus across the whole body,"we propose that rampant covid replication in pulmonary alveolus results in the breakdown of the alveolar vessel and the subsequent virus leakage into the blood flow, through which the virus is disseminated across the whole body. then the virus succeeds in establishing reinfection in the digestive tract by using the highly expressed ace2 receptor, which exacerbated the disease vice versa"
236,how much is the difference between the human covid and the bat ratg13 cov,"greater than 1,100 nt "
237,how many states in the u.s. have reported cases of covid,50
238,what do mild clinical presentations of covid indicate,that there could be many more mild infections than severe infections
239,mechanism of action of chloroquine(cq) and hydroxychloroquine(hcq) against covid,cq and hcq are weak bases that are known to elevate the ph of acidic intracellular organelles
240,where have most outbreaks of equine covid occurred in the united states,"adult riding, racing and show horses"
241,what suggests that irish equine covids may have a low genetic diversity,high level of homology between viruses
242,how big was the temporary hospital built in wuhan city for treatment of covid patients,1000 bed hospital
243,being closest to covid which species do the two bat sars related covid zxc21 and zc45 infect,"can infect suckling rats and cause inflammation in the brain tissue, and pathological changes in lung & intestine. "
244,how to put on use take off and dispose of a mask,"before touching the mask, clean hands with an alcohol based hand rub or soap and water. take the mask and inspect it for tears or holes. orient which side is the top side (where the metal strip is). ensure the proper side of the mask faces outwards (the colored side). place the mask to your face. pinch the metal strip or stiff edge of the mask so it molds to the shape of your nose. pull down the masks bottom so it covers your mouth and your chin."
245,What is a novel coronavirus,"A novel coronavirus is a new coronavirus that has not been previously identied. The virus causing coronavirus disease 2019 (COVID-19), is not the same as the coronaviruses that commonly circulate among humans and cause mild illness, like the common cold."
246,"Why is the disease being called coronavirus disease 2019, COVID-19","On February 11, 2020 the World Health Organization announced an ocial name for the disease that is causing the 2019 novel coronavirus outbreak, rst identied in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, ‘CO’ stands for ‘corona,’ ‘VI’ for ‘virus,’ and ‘D’ for disease. Formerly, this disease was referred to as “2019 novel coronavirus” or “2019-nCoV”. There are many types of human coronaviruses including some that commonly cause mild upper-respiratory tract illnesses. COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans."
247,How does the virus spread,"The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs sneezes or talks These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one
another (within about 6 feet).
"
248,"Can I get COVID-19 from food (including restaurant take-out, produce, refrigerated, or packaged food) or drinking water","Currently there is no evidence that people can get COVID-19 by eating or handling food. It may be possible that people can get COVID-19 by touching a surface or object, such as a food package or dining ware that has the virus on it and then touching their own mouth, nose, or possibly their eyes. However, this is not thought to be the main way the virus spreads. There is also no current evidence that people can get COVID-19 by drinking water. The COVID-19 virus has not been detected in drinking water. Conventional water treatment methods that use ltration and disinfection, such as those in most municipal drinking water systems, should remove or kill the virus that causes COVID-19."
249,Will warm weather stop the outbreak of COVID-19,"It is not yet known whether weather and temperature aect the spread of COVID-19. Some other viruses, like those that cause the common cold and u, spread more during cold weather months but that does not mean it is impossible to become sick with these viruses during other months. There is much more to learn about the transmissibility, severity, and other features associated with COVID-19 and investigations are ongoing."
250,What is community spread,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected. Each health department determines community spread dierently based on local conditions. For information on community spread in your area, please visit your health department’s website."
251,Can mosquitoes or ticks spread the virus that causes COVID-19,"At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks. The main way that COVID-19 spreads is from person to person. See How Coronavirus Spreads for more information."
252,Does CDC recommend the use of masks to prevent COVID-19,"Wear masks in public settings when around people not living in your household and particularly where other social distancing measures are dicult to maintain, such as grocery stores, pharmacies, and gas stations. Masks may slow the spread of the virus and help people who may have the virus and do not know it from transmitting it to others. COVID-19 can be spread by people who do not have symptoms and do not know that they are infected. That’s why it’s important for everyone to practice social distancing (staying at least 6 feet away from other people) and wear masks in public settings. Masks provide an extra layer to help prevent the respiratory droplets from traveling in the air and onto other people.The masks recommended are not surgical masks or N-95 respirators. Those are critical supplies that must continue to be
reserved for healthcare workers and other medical rst responders, as recommended by current CDC guidance.
"
253,Is it safe to get care for my other medical conditions during this time,"It is important to continue taking care of your health and wellness. Continue your medications, and do not change your treatment plan without talking to your healthcare provider. Continue to manage your disease the way your healthcare provider has told you. Have at least a 2-week supply of all prescription and non-prescription medications. Talk to your healthcare provider about whether your vaccinations are up-to-date. Call your healthcare provider if you have any concerns about your medical conditions, or if you get sick. to nd out about dierent ways you can connect with your healthcare provider for chronic disease management or other conditions. Do not delay getting emergency care for your health problems or any health condition that requires immediate attention. If you need emergency help, call 911. Emergency departments have infection prevention plans to protect you from getting COVID-19 if you need care for your medical condition. Continue to practice everyday prevention. Wash your hands often, avoid close contact, wear a mask, cover coughs and sneezes, and clean and disinfect frequently touched surfaces often."
254,"Am I at risk for COVID-19 from mail, packages, or products","There is still a lot that is unknown about COVID-19 and how it spreads. Coronaviruses are thought to be spread most often by respiratory droplets. Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products or packaging. However, it may be possible that people can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads."
255,Is it okay for me to donate blood,"In healthcare settings across the United States, donated blood is a lifesaving, essential part of caring for patients. The need for donated blood is constant, and blood centers are open and in urgent need of donations. CDC encourages people who are well to continue to donate blood if they are able, even if they are practicing social distancing because of COVID-19. CDC is supporting blood centers by providing recommendations that will keep donors and sta safe. Examples of these recommendations include spacing donor chairs 6 feet apart, thoroughly adhering to environmental cleaning practices, and encouraging donors to make donation appointments ahead of time."
256,Should contact lens wearers take special precautions to prevent COVID-19,"Currently there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers. Contact lens wearers should continue to practice safe contact lens wear and care hygiene habits to help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses. People who are healthy can continue to wear and care for their contact lenses as prescribed by their eye care professional."
257,Is contact lens disinfecting solution eective against COVID-19,"Hydrogen peroxide-based systems for cleaning, disinfecting, and storing contact lenses should be eective against the virus that causes COVID-19. For other disinfection methods, such as multipurpose solution and ultrasonic cleaners, there is currently not enough scientic evidence to determine ecacy against the virus. Always use solution to disinfect your contact lenses and case to kill germs that may be present. Handle your lenses over a surface that has been cleaned and disinfected."
258,Should I use soap and water or hand sanitizer to protect against COVID-19,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol."
259,What cleaning products should I use to protect against COVID-19,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks. If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common EPA-registered household disinfectants will work. See CDC’s recommendations for household cleaning and disinfection"
260,What should I do if I get sick or someone in my house gets sick,"Most people who get COVID-19 will be able to recover at home. CDC has directions for people who are recovering at home and their caregivers, including: Stay home when you are sick, except to get medical care. Use a separate room and bathroom for sick household members (if possible).Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or
sneezing; going to the bathroom; and before eating or preparing food.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash
hands with soap and water if hands are visibly dirty.
Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent
spreading COVID-19 to others.
Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person.
However, some people may need emergency medical attention. Watch for symptoms and learn when to seek emergency
medical attention.
When to Seek Emergency Medical Attention
Look for emergency warning signs* for COVID-19. If someone is showing any of these signs, seek emergency medical
care immediately
Trouble breathing
Persistent pain or pressure in the chest
New confusion
Inability to wake or stay awake
Bluish lips or face
*This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or
concerning to you.
Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has
or may have COVID-19."
261,What should I do if I have had close contact with someone who has COVID-19,"Be alert for symptoms. Watch for fever, cough, shortness of breath, or other symptoms of COVID-19. Take your temperature and follow CDC guidance if you have symptoms."
262,What is the risk of my child becoming sick with COVID-19,"Based on available evidence, children do not appear to be at higher risk for COVID-19 than adults. While some children and infants have been sick with COVID-19, adults make up most of the known cases to date. However, a few children have developed multisystem inammatory syndrome (MIS-C). Currently, information about this syndrome is limited. CDC is working with state and local health departments to learn more about MIS-C."
263,How can I protect my child from COVID-19 infection,"You can encourage your child to help stop the spread of COVID-19 by teaching them to do the same things everyone should do to stay healthy. Avoid close contact with people who are sick. Stay home when you are sick, except to get medical care. Cover your coughs and sneezes with a tissue and throw the tissue in the trash.Wash your hands often with soap and water for at least 20 seconds.
If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol.
Clean and disinfect frequently touched surfaces and objects, like tables, countertops, light switches, doorknobs, and
cabinet handles)."
264,Are the symptoms of COVID-19 dierent in children than in adults,"No. The symptoms of COVID-19 are similar in children and adults. COVID-19 can look dierent in dierent people. For many people, being sick with COVID-19 would be a little bit like having the u. People can get a fever, cough, or have a hard time taking deep breaths. Most people who have gotten COVID-19 have not gotten very sick. Only a small group of people who get it have had more serious problems. CDC and partners are investigating cases of multisystem inammatory syndrome in children (MIS-C) associated with COVID-19."
265,Should children wear masks,"CDC recommends that everyone 2 years and older wear a mask that covers their nose and mouth in public settings when around people not living in your household, particularly where other social distancing measures are dicult to maintain. Masks should NOT be put on babies or children younger than 2 because of the danger of suocation. Children younger than 2 years of age are listed as an exception as well as anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the mask without assistance."
266,How do I prepare my children in case of COVID-19 outbreak in our community,"Outbreaks can be stressful for adults and children. When you talk with your child, try to stay calm, and reassure them that they are safe. Talk to your children about COVID-19 and help them cope with stress."
267,What is multisystem inammatory syndrome in children (MIS-C) and who is at risk,"Multisystem inammatory syndrome in children (MIS-C) is a condition where dierent body parts can become inamed, including the heart, lungs, kidneys, brain, skin, eyes, or gastrointestinal organs. We do not yet know what causes MIS-C. However, we know that many children with MIS-C had the virus that causes COVID-19, or had been around someone with COVID-19. MIS-C can be serious, even deadly, but most children who were diagnosed with this condition have gotten better with medical care. Contact your child’s doctor, nurse, or clinic right away if your child is showing symptoms of MIS-C. Seek emergency care right away if your child is showing any of these emergency warning signs of MIS-C or other concerning signs."
268,Can my child hang out with their friends,"The key to slowing the spread of COVID-19 is to practice social distancing. While school is out, children should not have in-person playdates with children from other households. If children are playing outside their own homes, it is essential that they remain 6 feet from anyone who is not in their own household. Some children with certain underlying medical conditions are at higher risk for severe illness from COVID-19. Make sure children practice everyday preventive behaviors, such as washing their hands often with soap and water. Remember, if children meet outside of school in groups, it can put everyone at risk."
269,How can I help my child continue learning,"Stay in touch with your child’s school. Many schools are oering lessons online (virtual learning). Review assignments from the school, and help your child establish a reasonable pace for completing the work. You may need to assist your child with turning on devices, reading instructions, and typing answers. Create a schedule and routine for learning at home, but remain exible. Consider the needs and adjustment required for your child’s age group. The transition to being at home will be dierent for preschoolers, K-5, middle school students, and high school students. Talk to your child about expectations and how they are adjusting to being at home versus at school. Look for ways to make learning fun."
270,Will kids have access to school meals,Check with your school on plans to continue meal services during the school dismissal. Many schools are keeping school facilities open to allow families to pick up meals or are providing grab-and-go meals at a central location.
271,How can I keep my children healthy,Watch your child for any signs of illness. Watch for signs of stress in your child. Teach and reinforce everyday preventive actions. Help your child stay active. Help your child stay socially connected.
272,"Limit time with older adults, including relatives, and people with chronic medical conditions","Older adults and people who have serious underlying medical conditions are at highest risk of getting sick from COVID19. If others in your home are at higher risk for severe illness from COVID-19, consider extra precautions to separate your child from those people. If you are unable to stay home with your child during school dismissals and someone at higher risk for severe illness from COVID-19 will be providing care (older adult or someone with a serious underlying medical condition), limit your children’s contact with other people. Consider postponing visits or trip to see older family members and grandparents. Connect virtually or by writing letters and sending via mail."
273,Is my child with an underlying medical condition at higher risk for severe illness from COVID-19,"It’s not known yet whether all children with underlying medical conditions are at higher risk for severe illness from COVID19. Although most COVID-19 cases in children are not severe, serious illness that needs to be treated at the hospital still happens. Some data on children reported that the majority who needed hospitalization for COVID-19 had at least one underlying medical condition. The most common underlying conditions reported among children with COVID-19 include chronic lung disease (including asthma), heart disease, and conditions that weaken the immune system. This information suggests that children with these underlying medical conditions may be at risk for more severe illness from COVID-19. More data are needed to learn which underlying or complex medical conditions may put children at increased risk. CDC is monitoring new information as it becomes available and will provide updates as needed."
274,What additional steps should families that have a child with an underlying medical condition take,"In addition to following the recommendations to prevent getting sick and running essential errands, families should take extra steps recommended for persons with higher risk of severe COVID-19 illness and steps outlined for those with potential COVID-19 exposure or conrmed illness. Identify potential alternative caregivers, if you or other regular caregivers become sick and are unable to care for your child. If possible, these alternative caregivers would not be at higher risk of severe illness from COVID-19 themselves. Try to have at least one month of medication and medical supplies on hand. Some health plans allow for a 90-day supply of prescription medications. Consider discussing this option with your child’s healthcare provider. Review any care plans for your child, such as an asthma action plan, and make sure caregivers and backup caregivers are familiar with these plans. If you do not have care plans or an emergency notebook, try to make them. They typically include important information about your child’s medical conditions, how to manage those conditions, how to get in touch with your child’s doctors, allergies, information on medications (names, dosages, and administration instructions), preferences (food and other) or special needs, daily routines and activities, friends, and details about routines that are important to support behavioral and emotional health. Learn if your child’s healthcare providers, including doctors and therapists, have new ways to be contacted or new ways of providing appointments. If they oer telemedicine visits, nd out how those are arranged and any additional information you need. If your child receives any support care services in the home that need to be continued, make plans for what you will do if those direct care providers get sick, or if persons in your household are sick. Discuss with the support care agencies and the providers ways to minimize risk for exposure to the virus that causes COVID-19. If your child or other persons in your household are sick with COVID-19 and are able to recover at home, inform your direct care providers and consider postponing or rescheduling services until the criteria for discontinuing home isolation have been met. Ask service providers if they are experiencing any symptoms of COVID-19, or if they have been in contact with someone who has COVID-19. Tell the service provider to: Wear a mask if they will be close (less than 6 feet) to you or persons in your household. Their mask helps protect you if they are infected but do not have symptoms. Ask them to wash their hands with soap and water or, if unavailable, use hand sanitizer with at least 60% alcohol when they enter your home, before and after helping your child (dressing, bathing/showering, transferring, toileting and/or diapering, feeding), after handling tissues, and after changing linens or doing laundry. Learn more about proper handwashing. Service providers and families should: Routinely clean and disinfect frequently touched objects and surfaces (counters, tabletops, doorknobs, bathroom xtures, toilets, phones, keyboards, tablets, bedside tables), and equipment such as wheelchairs, scooters, walkers, oxygen tanks and tubing, communication boards, and other assistive devices. Refer to CDC’s recommendations for Cleaning and Disinfecting Your Home."
275,What can I do if my child has diculties adjusting to new routines and following recommendations,"Helping children understand and follow recommendations, like social distancing and wearing masks, can be challenging if your child has intellectual disabilities, sensory issues, or other special healthcare needs. Keeping children at home can lower stress created by social distancing and mask recommendations. Reach out to others for help in running essential errands.Behavioral techniques can be used to address behavioral challenges and to develop new routines. These include social stories, video modeling, picture schedules, and visual cues. Try rewarding your child in small ways with his or her favorite non-food treat or activities to help switch routines and to follow recommendations. Many of the organizations you turn to for information and support around your child’s complex, chronic medical condition may have information on their websites to help families address issues related to COVID-19. Your child’s therapist(s) and teachers may also have resources to help successfully introduce new routines to your child. While learning at home, continue special education services, accommodations, or services received in school through your child’s 504 plan or Individualized Educational Plan (IEP), as much as possible. Many schools are continuing interventions like speech therapy, small group classes, extended time and more. Learn more about supporting children with distance learning."
276,How can my family cope with the added stress,"Supporting children with special healthcare needs can put additional demands and stress on families, especially during emergency situations. You have likely found ways to manage the stress and challenges unique to your family’s situation. It is important to continue your family’s coping methods, including reaching out to other family members, friends, support groups, and organizations that have been helpful in the past. See information on helping children cope and coping with stress (such as visiting parks, trails, or open spaces) and making your family stronger. If you, or someone you care about, are feeling overwhelmed with emotions like sadness, depression, or anxiety, or feel like you want to harm yourself or others: Call 911 Visit the Disaster Distress Helpline , call 1-800-985-5990, or text TalkWithUs to 66746 Visit the National Domestic Violence Hotline or call 1-800-799-7233 and TTY 1-800-787-3224"
277,What if my child or someone else in the home is sick with symptoms of COVID-19,"If your child with special healthcare needs becomes sick with symptoms of COVID-19, contact your child’s healthcare provider. If your child has new or worsening emergency warning signs, such as trouble breathing, pain or pressure in the chest, confusion or inability to wake them up, or bluish lips or face, call 911. If you think your child may have COVID-19, notify the operator so that rst responders may be appropriately prepared to protect themselves and others. Notify your child’s healthcare provider if someone else in your house becomes sick with COVID-19, so they can provide any advice specic for your child."
278,"What if my child’s symptoms of their underlying medical condition or complex, chronic medical condition get worse","Call your child’s healthcare provider if you have any concerns about your child’s medical conditions. If you need emergency help, call 911. Emergency departments have infection prevention plans to protect you and your child from getting COVID-19 if your child needs care for medical conditions not related to COVID-19. Do not delay getting emergency care for your child’s underlying condition or complex medical condition because you are afraid of getting exposed to COVID-19 when visiting the healthcare setting."
279,What if my child needs to go to the hospital,"If your child’s healthcare provider tells you to go to the hospital for any health problem, including COVID-19 Ask the healthcare provider to let the hospital know you are coming and to share important information about caring
for your child.
Visiting policies may have changed due to COVID-19. If your child’s hospital policy does not allow an adult to stay with
a child, ask your child’s healthcare provider for a statement explaining your child’s need for a familiar adult to be
present.
Bring your care plans/emergency notebook with you along with paper and pen to write down questions you have
during your time at the hospital."
280,How can I prepare for an outbreak in my area,"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community: Talk with the people who need to be included in your plan, and discuss what to do if a COVID-19 outbreak occurs in your community. Plan ways to care for those who might be at greater risk for serious complications. Make sure they have access to 2 weeks of medications and supplies in case you need to stay home for prolonged periods of time. Get to know your neighbors and nd out if your neighborhood has a website or social media page to stay connected. Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources. Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources"
281,How can I prepare for COVID-19 at work,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. Learn how businesses and employers can plan for and respond to COVID-19."
282,Should I make my own hand sanitizer if I can’t nd it in the stores,"CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredients and the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to ll in for commercial shortages can refer to the World Health Organization guidance. Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available. To be eective against killing some types of germs, hand sanitizers need to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy. Do not rely on “Do It Yourself” or “DIY” recipes based solely on essential oils or formulated without correct compounding practices.
Do not use hand sanitizer to disinfect frequently touched surfaces and objects."
283,What are the symptoms and complications that COVID-19 can cause,"People with COVID-19 have reported a wide range of symptoms – from mild symptoms to severe illness. Symptoms may appear 2-14 days after exposure to the virus. If you have fever, cough, or other symptoms, you might have COVID-19."
284,When should I seek emergency care if I have COVID-19,"Look for emergency warning signs* for COVID-19. If someone is showing any of these signs, seek emergency medical care immediately Trouble breathing Persistent pain or pressure in the chest New confusion Inability to wake or stay awake Bluish lips or face *This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you. Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has or may have COVID-19."
285,Is it possible to have the u and COVID-19 at the same time,Yes. It is possible to test positive for u (as well as other respiratory infections) and COVID-19 at the same time.
286,Should I be tested for a current infection,"Maybe; not everyone needs to be tested for COVID-19. If you have symptoms of COVID-19 and want to get tested, call your healthcare provider rst. Most people will have mild illness and can recover at home without medical care and may not need to be tested. CDC has guidance for who should be tested, but decisions about testing are made by state and local health departments and healthcare providers."
287,How can I get tested for a current infection (viral test) and what does my test mean,"Decisions about testing are made by state and local health departments or healthcare providers. If you have symptoms of COVID-19 and are not tested, it is important to stay home."
288,What to do if you are sick,"COVID-19 testing diers by location. If you have symptoms of COVID-19 and want to get tested, call your healthcare provider rst. You can also visit your state or local health department’s website to look for the latest local information on testing. The U.S. Food and Drug Administration (FDA) has authorized viral tests that let you collect either a nasal swab or a saliva sample at home. However, you will still need to send your sample to a laboratory for analysis.If you test positive for COVID-19, know what protective steps to take if you are sick or caring for someone.If you test negative for COVID-19, you probably were not infected at the time your sample was collected. However, that
does not mean you will not get sick. The test result only means that you did not have COVID-19 at the time of testing. You
might test negative if the sample was collected early in your infection and test positive later during your illness. You could
also be exposed to COVID-19 after the test and get infected then. This means you could still spread the virus. If you
develop symptoms later, you might need another test to determine if you are infected with the virus that causes COVID19.
"
289,How can I get tested for a past infection (antibody test) and what does my test mean,"Antibody tests for COVID-19 are available through healthcare providers and laboratories. Check with your healthcare provider to see if they oer antibody tests and whether you should get one. A positive test result shows you might have antibodies from an infection with the virus that causes COVID-19. However, there is a chance a positive result means that you have antibodies from an infection with a virus from the same family of viruses (called coronaviruses), such as the one that causes the common cold. Having antibodies to the virus that causes COVID-19 might provide protection from getting infected with the virus again. If it does, we do not know how much protection the antibodies might provide or how long this protection might last. You should continue to protect yourself and others since you could get infected with the virus again. If you test negative, you might not have ever had COVID-19. Talk with your healthcare provider about your test result and the type of test you took to understand what your result means. Regardless of whether you test positive or negative, the results do not conrm whether or not you are able to spread the virus that causes COVID-19. Until we know more, continue to take steps to protect yourself and others."
290,Can someone test negative and later test positive on a viral test for COVID-19,"Yes, it is possible. You may test negative if the sample was collected early in your infection and test positive later during this illness. You could also be exposed to COVID-19 after the test and get infected then. Even if you test negative, you still should take steps to protect yourself and others."
291,Who is at higher risk for serious illness from COVID-19,"COVID-19 is a new disease and there is limited information regarding risk factors for severe disease. Based on currently available information and clinical expertise, older adults and people with underlying medical conditions are at higher risk for severe illness from COVID-19."
292,What should people at higher risk of serious illness with COVID-19 do,"If you are at higher risk for severe illness from COVID-19, you should: Limit your interactions with other people as much as possible. Take precautions to prevent getting COVID-19 when you do interact with others. If you decide to engage in public activities, continue to protect yourself by practicing everyday preventive actions.Keep these items on hand and use them when venturing out: a mask, tissues, and a hand sanitizer with at least 60%
alcohol, if possible.
If possible, avoid others who are not wearing masks or ask others around you to wear masks.
Delay or cancel a visit if you or your visitors have symptoms of COVID-19 or have been exposed to someone with
COVID-19 in the last 14 days.
Anyone who has had close contact with a person with COVID-19 should stay home and monitor for symptoms.
Continue your medicines and do not change your treatment plan without talking to your healthcare provider.
Have at least a 30-day supply of prescription and non-prescription medicines.
Do not delay getting emergency care for your underlying medical condition because of COVID-19. Emergency
departments have contingency infection prevention plans to protect you from getting COVID-19 if you need care.
"
293,Are people with disabilities at higher risk,"Most people with disabilities are not inherently at higher risk for becoming infected with or having severe illness from COVID-19. Some people with physical limitations or other disabilities might be at a higher risk of infection because of their underlying medical condition. People with certain disabilities might experience higher rates of chronic health conditions that put them at higher risk of serious illness and poorer outcomes from COVID-19. Adults with disabilities are three times more likely to have heart disease, stroke, diabetes, or cancer than adults without disabilities. You should talk with your healthcare provider if you have a question about your health or how your health condition is being managed."
294,What is contact tracing,"Contact tracing has been used for decades by state and local health departments to slow or stop the spread of infectious diseases. Contact tracing slows the spread of COVID-19 by Letting people know they may have been exposed to COVID-19 and should monitor their health for signs and symptoms of COVID-19 Helping people who may have been exposed to COVID-19 get tested Asking people to self-isolate if they have COVID-19 or self-quarantine if they are a close contact of someone with COVID-19 During contact tracing, the health department sta will not ask you for Money Social Security number Bank account information Salary information Credit card numbers"
295,What will happen with my personal information during contact tracing,"Discussions with health department sta are condential. This means that your personal and medical information will be kept private and only shared with those who may need to know, like your health care provider.
If you have been diagnosed with COVID-19, your name will not be shared with those you came in contact with. The health
department will only notify people you were in close contact with (within 6 feet for more than 15 minutes) that they might
have been exposed to COVID-19. Each state and jurisdiction use their own method for collecting and protecting health
information. To learn more, contact your state or local health department.
"
296,Who is considered a close contact to someone with COVID-19,"For COVID-19, a close contact is anyone who was within 6 feet of an infected person for at least 15 minutes. An infected person can spread COVID-19 starting 48 hours (or 2 days) before the person had any symptoms or tested positive for COVID-19."
